morph_pair_id,source_primitive_id,target_primitive_id,morph_type,interpolation_curve,duration_frames,approved_by_austin,notes
dry_run__ovoid_pair_001,dry_run__ovoid_v1,dry_run__ovoid_v2,bezier_full,easeInOut,48,dry_run_placeholder,Round → tall ovoid. Pipeline test only.
dry_run__U_form_pair_001,dry_run__U_form_v1,dry_run__U_form_v2,bezier_full,easeInOut,48,dry_run_placeholder,Tall narrow → wide squat U. Pipeline test only.
dry_run__crescent_pair_001,dry_run__crescent_v1,dry_run__crescent_v2,bezier_full,easeInOut,48,dry_run_placeholder,Thick → thin crescent. Pipeline test only.
prim_circle_to_crescent,prim_circle_oval_exp1,prim_crescent_exp1,bezier_full,easeInOut,144,dry_run_placeholder,Exp1 INTERNAL ONLY. Circle-Oval to Crescent for Austin Pearl three-shapes technical realization.
prim_crescent_to_trigon,prim_crescent_exp1,prim_trigon_exp1,bezier_full,easeInOut,144,dry_run_placeholder,Exp1 INTERNAL ONLY. Crescent to synthesized Trigon placeholder for Austin Pearl three-shapes technical realization.
prim_trigon_to_circle,prim_trigon_exp1,prim_circle_oval_exp1,bezier_full,easeInOut,144,dry_run_placeholder,Exp1 INTERNAL ONLY. Trigon to Circle-Oval to close the cyclic primitive loop.
coast_salish__circle_to_crescent_001,coast_salish__circle_oval_v1,coast_salish__crescent_v1,bezier_full,easeInOut,144,dry_run_placeholder,Exp 1 — wholeness compresses into revelation. 144 frames at 24 fps = 6 sec. Cycle stage 1 of 3.
coast_salish__crescent_to_trigon_001,coast_salish__crescent_v1,coast_salish__trigon_v1,bezier_full,easeInOut,144,dry_run_placeholder,Exp 1 — revelation gains structure. 144 frames at 24 fps = 6 sec. Cycle stage 2 of 3.
coast_salish__trigon_to_circle_001,coast_salish__trigon_v1,coast_salish__circle_oval_v1,bezier_full,easeInOut,144,dry_run_placeholder,Exp 1 — structure resolves back to wholeness (closes the cycle). 144 frames at 24 fps = 6 sec. Cycle stage 3 of 3.
raven_sun_to_cosmic_sun,austin__raven_sun_whole,austin__cosmic_sun_whole,bezier_full,easeInOut,96,dry_run_placeholder,Exp 2 — Austin's deliberate icon-pair (matching 108×108 viewBox + #d15927/#ffc82e palette). Whole-SVG colored shape morph. Rank-1 lowest-risk highest-payoff per catalog. 96 frames at 24 fps = 4 sec. INTERNAL ONLY.
wolf_whorl_to_salmon_spawn,austin__wolf_spindle_whorl_whole,austin__salmon_spawn_eggs_whole,bezier_full,easeInOut,144,dry_run_placeholder,Exp 2b — both pearl-containment compositions with bilateral/rotational symmetry. Whole-SVG colored shape morph with unmatched salmon roe circles fading in. HIGH cultural-load (Wolf crest + salmon teaching scene). 144 frames at 24 fps = 6 sec. INTERNAL ONLY — Austin signoff required for any share moment.
cosmic_sun_to_salmon_spawn,austin__cosmic_sun_whole,austin__salmon_spawn_eggs_whole,bezier_full,easeInOut,120,dry_run_placeholder,Cosmic Sun (108x108) ↔ Salmon Spawn Eggs (1500x1500); particle/roe field test; cross-domain (Nature↔Animal trophic edge). 120 frames at 24fps = 5 sec. INTERNAL ONLY.
raven_sun_to_salmon_spawn,austin__raven_sun_whole,austin__salmon_spawn_eggs_whole,bezier_full,easeInOut,120,dry_run_placeholder,Raven Sun ↔ Salmon Spawn Eggs; origin-light to return/spawning narrative edge. 120 frames at 24fps = 5 sec. INTERNAL ONLY.
